Facility Number,F_NAME,HMIS,Province,District,Division,LOCATION,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation
115,GK OPEN PRISON DISP (NAIVASHA),1748,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,SOKONI(NAKURU),GPS,9,OTHER MIN,"(-0.70664, 36.43879)"
116,GK PRISON DISP (NAIVASHA),1749,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,SOKONI(NAKURU),GPS,9,OTHER MIN,"(-0.70664, 36.43879)"
117,GK PRISON MAXIMUM DISP (NAIVASHA),2780,RIFT VALLEY,NAKURU,NAIVASHA,NAIVASHA TOWN,SOKONI(NAKURU),GPS,9,OTHER MIN,"(-0.70664, 36.43879)"
118,GK PRISON NAKURU DISP (NAKURU),1754,RIFT VALLEY,NAKURU,NAKURU MUNI.,KAPTEMBWO,VIWANDA,GPS,9,OTHER MIN,"(-0.26324, 36.05448)"
119,GSU KABARAK DISP,4632,RIFT VALLEY,NAKURU,RONGAI,LENGINET,KAMUNGEI(NAKURU),GPS,9,OTHER MIN,"(-0.20293, 35.96116)"
120,HOMEGROWN HOSPITAL,2813,RIFT VALLEY,NAKURU,NAIVASHA,HELL'S GATE,OLKARIA,GPS,9,PRIV,"(-0.83118, 36.34839)"
121,KENYATTA BARRACKS MIR DISP,1765,RIFT VALLEY,NAKURU,GILGIL,GILGIL,GILGIL,GPS,9,AF,"(-0.49058, 36.34158)"
122,M.R.S. HOSPITAL LANET,,RIFT VALLEY,NAKURU,NAKURU MUNI.,LANET,LANET(MUNICIPALITY),1:50000 MAPS,9,AF,"(-0.30271, 36.15312)"
123,NAKURU EAST DISP,4553,RIFT VALLEY,NAKURU,NAKURU MUNI.,LANET,LANET(MUNICIPALITY),GPS,9,OTHER MIN,"(-0.29021, 36.11809)"
124,NAKURU WAR MEMORIAL HOSPITAL,,RIFT VALLEY,NAKURU,NAKURU MUNI.,CENTRAL,AFRAHA,GPS,9,AF,"(-0.27957, 36.08022)"
125,SOIL CONSERVATION CLINIC,3511,RIFT VALLEY,NAKURU,,,,,,,
,,,,,,,,,9,PRIV,
62,BARATON UNIVERSITY DISP,4314,RIFT VALLEY,NANDI,KAPSABET,KAPSABET,TOWNSHIP(KAPSABET),ILRI VILLAGES,9,PRIV,"(0.2, 35.1)"
63,CHEMARTIN TEA ESTATE DISP,2697,RIFT VALLEY,NANDI,,,,,,,
,,,,,,,,,9,PRIV,
64,CHEMELIL SISAL DISP(NANDI),2047,RIFT VALLEY,NANDI,KAPTUMO,KABOI,KAPSOO,ILRI MKT CENTRE,9,PRIV,"(0.088631, 35.102257)"
65,CHEMOMI TEA ESTATE DISP,2048,RIFT VALLEY,NANDI,KAPTUMO,KABOI,MUGUNDOI(NANDI),ILRI MKT CENTRE,9,PRIV,"(0.126, 35.111)"
66,G K PRISON DISP (NANDI),2132,RIFT VALLEY,NANDI,KAPSABET,KAPSABET,TOWNSHIP(KAPSABET),1:50000 MAPS,9,OTHER MIN,"(0.197133, 35.0972)"
67,KABOSWA TEA ESTATE DISP,2054,RIFT VALLEY,NANDI,KILIBWONI,LOLMININGAI,NDUBENETI(NANDI),ILRI VILLAGES,9,PRIV,"(0.28631, 35.243028)"
68,KAIMOSI TEA ESTATE DISP,2616,RIFT VALLEY,NANDI,ALDAI,KEMELOI,KOIBARAK(NANDI),ILRI MKT CENTRE,9,PRIV,"(0.13143, 34.880163)"
69,KAITET TEA ESTATE DISP,3498,RIFT VALLEY,NANDI,NANDI HILLS,CHEMOMI,KIRONDIO,ILRI VILLAGES,9,PRIV,"(0.12, 35.12)"
70,KAPCHORWA TEA ESTATE DISP,2056,RIFT VALLEY,NANDI,NANDI HILLS,KAPCHORUA,KAPCHORUA(NANDI),DHMT,9,PRIV,"(0.109126, 35.263178)"
71,KAPNDENGE ESTATE DISP,1596,RIFT VALLEY,NANDI,,,,,,,
,,,,,,,,,9,PRIV,
72,KAPSABET G K PRISON DISP,,RIFT VALLEY,NANDI,KAPSABET,KAPSABET,TOWNSHIP(KAPSABET),HD MAPS,9,MOH,"(0.2028, 35.0954)"
73,KAPSIKAK ESTATE DISP,2935,RIFT VALLEY,NANDI,KILIBWONI,KIPSIGAK,KIPSIGAK,DHMT,9,PRIV,"(0.162806, 35.135909)"
74,KAPSIWON TEA DISP,2375,RIFT VALLEY,NANDI,,,,,,,
,,,,,,,,,9,PRIV,
75,KAPSUMBEIYWA TEA ESTATE DISP,2061,RIFT VALLEY,NANDI,NANDI HILLS,MOGOBICH,KIPKEIGEI(NANDI),ILRI MKT CENTRE,9,PRIV,"(0.140414, 35.2389)"
76,KHARTOUM TEA ESTATE DISP,2730,RIFT VALLEY,NANDI,NANDI HILLS,TARTAR,KAPKORIO,ILRI MKT CENTRE,9,PRIV,"(0.124927, 35.229973)"
77,KIBABET TEA ESTATE DISP,2063,RIFT VALLEY,NANDI,KILIBWONI,OLLESSOS,LELWAK,ILRI VILLAGES,9,PRIV,"(0.18, 35.25)"
78,KIBWARI TEA ESTATE DISP,2064,RIFT VALLEY,NANDI,NANDI HILLS,KAPSIMOTWO,KAPSIMOTWO(NANDI),ILRI VILLAGES,9,PRIV,"(0.07, 35.15)"
79,KIPCHOMO TEA ESTATE DISP,2067,RIFT VALLEY,NANDI,NANDI HILLS,NANDI HILLS,KAPNGETUNY(N. HILLS),DHMT,9,PRIV,"(0.108322, 35.180506)"
80,KIPKEIBON TEA DISP,3390,RIFT VALLEY,NANDI,KAPSABET,KIPTUIYA,KAPTOBONGEN,ILRI VILLAGES,9,PRIV,"(0.211431, 35.036364)"
81,KIPKEIGEN TEA ESTATE DISP,,RIFT VALLEY,NANDI,,,,,,,
,,,,,,,,,9,PRIV,
82,KIPKOIMET TEA ESTATE DISP,2068,RIFT VALLEY,NANDI,NANDI HILLS,MOGOBICH,KIPKOIMET,DHMT,9,PRIV,"(0.105749, 35.24122)"
83,KIPSIGAK TEA ESTATE DISP,,RIFT VALLEY,NANDI,,,,,,,
,,,,,,,,,9,PRIV,
84,KOISAGAT TEA ESTATE DISP,2071,RIFT VALLEY,NANDI,NANDI HILLS,SIRET,CHEPTABACH,ILRI VILLAGES,9,PRIV,"(0.08, 35.27)"
85,MOKONG TEA DISP,3931,RIFT VALLEY,NANDI,NANDI HILLS,NANDI HILLS,KIPSAMOO,ILRI VILLAGES,9,PRIV,"(0.12, 35.18)"
86,MOSORIOT TTC DISP,2157,RIFT VALLEY,NANDI,KOSIRAI,MUTWOT,MOSORIOT,SUBLOC CENTROID,9,OTHER MIN,"(0.30451, 35.171435)"
87,NANDI TEA ESTATE DISP,2074,RIFT VALLEY,NANDI,NANDI HILLS,KAPLELMET,KETBARAK,ILRI VILLAGES,9,PRIV,"(0.1, 35.18)"
88,OGIRGIR TEA ESTATE DISP,2076,RIFT VALLEY,NANDI,KILIBWONI,KOILOT,KOILOT,DHMT,9,PRIV,"(0.195411, 35.316384)"
,SARAH BOIT FARM DISP,,RIFT VALLEY,NANDI,NANDI HILLS,CHEPTILILIK,TARTAR,,9,PRIV,
89,SAVANI TEA ESTATE DISP,2077,RIFT VALLEY,NANDI,NANDI HILLS,CHEPSIRE,CHEPSIRE,ILRI VILLAGES,9,PRIV,"(0.05, 35.1)"
90,SEPTON TEA ESTATE DISP,2078,RIFT VALLEY,NANDI,NANDI HILLS,CHEPTILILIK,KAPTIEN(NANDI),ILRI VILLAGES,9,PRIV,"(0.12, 35.2)"
91,SITOI TEA ESTATE DISP,2083,RIFT VALLEY,NANDI,,,,,,,
,,,,,,,,,9,PRIV,
,TECHNICAL DEPT CLINIC,,RIFT VALLEY,NANDI,NANDI HILLS,KAPSOMBEWA,KAPSOMBEWA,,9,PRIV,
92,TINDERET TEA ESTATE DISP,2085,RIFT VALLEY,NANDI,TINDERET,TINDERET,TINDERET,SUBLOC CENTROID,9,MOH,"(-0.071389, 35.339213)"
66,GK PRISON DISP (NAROK),1800,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK TOWN,1:50000 MAPS,9,OTHER MIN,"(-1.07772, 35.8397)"
67,MARA SERENA DISP,4448,RIFT VALLEY,NAROK,MARA,KOYAKI,SEKENANI,HD MAPS,9,PRIV,"(-1.47849, 35.1557)"
68,NAROK HIGH SCHOOL DISP,3454,RIFT VALLEY,NAROK,CENTRAL,LOWER MELILI,NAROK TOWN,ILRI VILLAGES,9,OTHER MIN,"(-1.08, 35.87)"
69,NAROK TTC DISP,4407,RIFT VALLEY,NAROK,MAU,OLCHORRO,SIYAPEI,ILRI MKT CENTRE,9,OTHER MIN,"(-1.083419, 35.955371)"
43,GK PRISON DISP (MARALAL),2110,RIFT VALLEY,SAMBURU,KIRISIA,MARALAL TOWN,MILIMANI(SAMBURU),GPS,9,OTHER MIN,"(1.09746, 36.69148)"
44,PRESTIGE LODGE DISP (INTRAPIEDS),3057,RIFT VALLEY,SAMBURU,WASO,WASO WEST,LPUS LELUAI,DISTRICT ESTIMATES,9,PRIV,"(0.61, 37.47012)"
45,SAMBURU LODGE DISP,2113,RIFT VALLEY,SAMBURU,WASO,WASO WEST,LPUS LELUAI,DDP,9,PRIV,"(0.596475, 37.4215)"
46,MARA SERENA LODGE DISP,1804,RIFT VALLEY,TRANS MARA,LOLGORIAN,OLORIEN,OLOLMONGI,HD MAPS,9,PRIV,"(-1.414, 35.007)"
55,CHERANGANY SEC SCHOOL DISP,4414,RIFT VALLEY,TRANS-NZOIA,CHERANGANY,CHERANGANY,NZOIA(TNZOIA),1:50000 MAPS,9,OTHER MIN,"(0.97792, 35.22703)"
56,G.K FARM PRISON DISP (TRANSZOIA),1856,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,BIDII,DISTRICT ESTIMATES,9,OTHER MIN,"(1.06214, 35.0114)"
57,GK PRISON DISP(TRANSZOIA),2493,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,MILIMANI(CENTRAL),DISTRICT ESTIMATES,9,OTHER MIN,"(0.99234, 35.0221)"
58,GK REMAND PRISON DISP (TRANSNZOIA),2840,RIFT VALLEY,TRANS-NZOIA,CENTRAL,MUNICIPALITY,BONDENI(TNZOIA),DISTRICT ESTIMATES,9,OTHER MIN,"(1.03214, 34.9921)"
59,GSU CHEPCHOINA DISP,2402,RIFT VALLEY,TRANS-NZOIA,ENDEBESS,CHEPCHOINA,TWIGA,DISTRICT ESTIMATES,9,OTHER MIN,"(1.16214, 34.8041)"
60,GSU KERITA CAMP DISP,3733,RIFT VALLEY,TRANS-NZOIA,KWANZA,KAPOMBOI,KOLONGOLO,DISTRICT ESTIMATES,9,OTHER MIN,"(1.25321, 34.9924)"
61,ST. BRIGID SEC SCHOOL DISP,3495,RIFT VALLEY,TRANS-NZOIA,,,,,,,
,,,,,,,,,9,OTHER MIN,
88,GK PRISON DISP (TURKANA),3053,RIFT VALLEY,TURKANA,CENTRAL,LODWAR TOWN,NAPETET,DISTRICT ESTIMATES,9,OTHER MIN,"(3.15232, 35.62123)"
89,GSU KIBISHI DISPENSARY,,RIFT VALLEY,TURKANA,KIBISH,KIBISH,KIBISH,DISTRICT ESTIMATES,9,OTHER MIN,"(5.44123, 35.5512)"
77,CENTRAL BANK DISP,,RIFT VALLEY,UASIN GISHU,AINABKOI,KAPSOYA,KAPSOYA,ILRI TOWNS,9,OTHER MIN,"(0.511704, 35.284035)"
,ELDORET AIRPORT CLINIC,,RIFT VALLEY,UASIN GISHU,ELDORET,ELDORET,,,9,PRIV,
78,ELDORET MAINTANANCE SCHOOL DISP,1877,RIFT VALLEY,UASIN GISHU,KAPSARET,PIONEER,LANGAS,DISTRICT ESTIMATES,9,MOH,"(0.50321, 35.2641)"
79,ELDORET PRISON DISP,,RIFT VALLEY,UASIN GISHU,SOY,KIBULGENY,KAMUKUNJI(UGISHU),HD MAPS,9,MOH,"(0.538332, 35.2886)"
80,GK PRISON DISP (UASIN-GISHU),1902,RIFT VALLEY,UASIN GISHU,MOIBEN,CHEPKOILEL,KIMUMU,DISTRICT ESTIMATES,9,OTHER MIN,"(0.56231, 35.3021)"
81,MOI BARRACKS DISP,1917,RIFT VALLEY,UASIN GISHU,TURBO,KAMAGUT,LESERU,HD MAPS,9,AF,"(0.612962, 35.1676)"
83,MOI UNIVERSITY DISP,1918,RIFT VALLEY,UASIN GISHU,KESSES,KESSES,KESSES,HD MAPS,9,OTHER MIN,"(0.307383, 35.3207)"
84,PAN PAPER DISP,2969,RIFT VALLEY,UASIN GISHU,AINABKOI,KAPTAGAT,TENDWO,HD MAPS,9,PRIV,"(0.482154, 35.4215)"
85,POST OFFICE DISP,3613,RIFT VALLEY,UASIN GISHU,,,,,,,
,,,,,,,,,9,PRIV,
86,RAILWAY DISP,1903,RIFT VALLEY,UASIN GISHU,SOY,KIBULGENY,KAMUKUNJI(UGISHU),HD MAPS,9,OTHER MIN,"(0.538332, 35.2886)"
87,RIVATEX DISP,1904,RIFT VALLEY,UASIN GISHU,KAPSARET,PIONEER,LANGAS,HD MAPS,9,PRIV,"(0.484919, 35.2777)"
88,TUGEN ESTATE DISP,4403,RIFT VALLEY,UASIN GISHU,MOIBEN,SERGOIT,SERGOIT(UG),ILRI MKT CENTRE,9,PRIV,"(0.679891, 35.390395)"
71,GK PRISON DISP,2182,RIFT VALLEY,WEST POKOT,KAPENGURIA,TALAU,KAPSURUM,DISTRICT ESTIMATES,9,OTHER MIN,"(1.2232, 35.1211)"
72,TURKWEL GORGE POWER DISP,,RIFT VALLEY,WEST POKOT,KASEI,KORPU,SIRWACH,DDP,9,PRIV,"(1.95185, 35.3582)"
61,BAT MALAKISI CLINIC,4671,WESTERN,BUNGOMA,MALAKISI,MALAKISI,MWALIE,ILRI MKT CENTRE,9,PRIV,"(0.676036, 34.422321)"
62,NZOIA SUGAR DISP,2220,WESTERN,BUNGOMA,,,,,,,
,,,,,,,,,9,PRIV,
63,PANPAPER HEALTH CENTRE,2221,WESTERN,BUNGOMA,WEBUYE,WEBUYE,TOWNSHIP(WEBUYE),AMKENI,9,PRIV,"(0.591078, 34.77757)"
33,GK PRISON DISP (BUSIA),4387,WESTERN,BUSIA,TOWNSHIP,TOWNSHIP,MAYENJE,SUBLOC CENTROID,9,OTHER MIN,"(0.452964, 34.114519)"
34,ST. CATHERINE SPECIAL SCHOOL DISP,2356,WESTERN,BUSIA,,,,,,,
,,,,,,,,,9,MISS,
60,APPROVED SCHOOL DISP,2268,WESTERN,KAKAMEGA,MUNICIPALITY,BUKHUNGU,MAHIAKALO,AMKENI,9,MOH,"(0.292924, 34.76145)"
61,EREGI TTC DISP,3275,WESTERN,KAKAMEGA,IKOLOMANI,SHIKUMU,MADIVINI,AMKENI,9,OTHER MIN,"(0.153304, 34.704341)"
62,G.O.K. PRISON  DISP (KAKAMEGA),2279,WESTERN,KAKAMEGA,MUNICIPALITY,BUKHUNGU,SHIRERE,AMKENI,9,OTHER MIN,"(0.27284, 34.753093)"
63,KAKAMEGA MED TRAINING CENTRE CLINIC,,WESTERN,KAKAMEGA,MUNICIPALITY,BUKHUNGU,SHIRERE,AMKENI,9,PRIV,"(0.27277, 34.758291)"
40,KAIMOSI TTC DISP,3825,WESTERN,VIHIGA,TIRIKI EAST,SHAVIRINGA,MULUNDU(TIRIKI EAST),GPS,9,OTHER MIN,"(0.13076, 34.84836)"
FNO,F_NAME,HMIS_,PROV,DISTRICT,DIVISION,LOCATION,SUB_LOCATI,Spatial Reference Method,F_TYPE,AGENCY,
77,BETHANY CRIPPLED CHILDREN'S CENTRE OF KENYA (AIC),,CENTRAL,KIAMBU,LARI,GITITHIA,GITITHIA,ILRI MKT CENTRE,8,PRIV,"(-1.039394, 36.595304)"
78,KIKUYU NURSING HOME,238,CENTRAL,KIAMBU,KIKUYU,KIKUYU,KIKUYU TOWNSHIP,DDP,7,PRIV,"(-1.24637, 36.6499)"
79,LIMURU NURSING HOME,219,CENTRAL,KIAMBU,LIMURU,LIMURU,LIMURU TOWN,SUBLOC CENTROID,7,PRIV,"(-1.106097, 36.645462)"
80,MARIA MATERNITY & NURSING HOME,,CENTRAL,KIAMBU,LARI,NYANDUMA,GACHOIRE,ILRI VILLAGES,7,PRIV,"(-0.97, 36.72)"
81,VICKY MEDICAL CLINIC & MATERNITY,,CENTRAL,KIAMBU,,,,,,,
,,,,,,,,,7,PRIV,
66,BARAGWI MATERNITY HOME,303,CENTRAL,KIRINYAGA,,,,,,,
,,,,,,,,,7,PRIV,
67,BARICHO MATERNITY HOME,,CENTRAL,KIRINYAGA,,,,,,,
,,,,,,,,,7,MISS,
68,KAGUMO MATERNITY HOME,273,CENTRAL,KIRINYAGA,NDIA,MUTIRA,KABARI(NDIA),1:50000 MAPS,7,MISS,"(-0.470721, 37.238738)"
69,KIANYAGA MATERNITY HOME,,CENTRAL,KIRINYAGA,GICHUGU,BARAGWI,RAIMU,SUBLOC CENTROID,7,MISS,"(-0.490188, 37.356903)"
70,KIRINYAGA NURSING HOME,3898,CENTRAL,KIRINYAGA,CENTRAL,KOROMA,KARIA(KIRINYAGA),HD MAPS,7,PRIV,"(-0.5237, 37.2992)"
71,KUTUS MATERNITY HOME,4715,CENTRAL,KIRINYAGA,,,,,,,
,,,,,,,,,7,PRIV,
72,NJAMBI NURSING HOME,4722,CENTRAL,KIRINYAGA,MWEA,MUTITHI,KINYAGA,SUBLOC CENTROID,7,PRIV,"(-0.651673, 37.252858)"
56,MARIE STOPES NURSING HOME,3397,CENTRAL,MURANGA,KIHARU,MBIRI,MARAGI,GPS,7,NGO,"(-0.73055, 37.14659)"
58,WAIGANJO MEDICAL AND ENT CLINIC,,CENTRAL,MURANGA,KIHARU,TOWNSHIP,KARURI(MURANGA),GPS,8,PRIV,"(-0.71809, 37.15627)"
55,NJABINI MATERNITY HOME,4540,CENTRAL,NYANDARUA,SOUTH KINANGOP,NJABINI,NJABINI,1:50000 MAPS,7,PRIV,"(-0.72162, 36.6554)"
56,ST. MEMORIAL MEDICAL CLINIC & MATERNITY,,CENTRAL,NYANDARUA,OL KALOU,KAIMBAGA,GICHUNGO,DHMT,7,PRIV,"(-0.26, 36.38)"
97,F.P.A.K CLINIC (NYERI),3172,CENTRAL,NYERI,MUNICIPALITY,MUKARO,MAJENGO(NYERI),GPS,8,NGO,"(-0.42512, 36.96195)"
98,GIKORE MATERNITY HOME,502,CENTRAL,NYERI,,,,,,,
,,,,,,,,,7,PRIV,
99,JAMII NURSING HOME,508,CENTRAL,NYERI,MATHIRA,KARATINA,KIHARU,GPS,7,PRIV,"(-0.47595, 37.13012)"
100,KARATINA  MATERNITY HOME,,CENTRAL,NYERI,MATHIRA,KARATINA,KIHARU,GPS,7,PRIV,"(-0.48008, 37.12912)"
101,KIHUGIRU MATERNITY DISPENSARY,504,CENTRAL,NYERI,OTHAYA,IRIA-INI,GITUNDU,GPS,7,PRIV,"(-0.55162, 36.93888)"
102,MARIINI MATERNITY HOME,505,CENTRAL,NYERI,MUNICIPALITY,MUKARO,MARUA,GPS,7,PRIV,"(-0.44969, 37.03057)"
103,NYERI NURSING HOME,3147,CENTRAL,NYERI,MUNICIPALITY,MUKARO,KAMAKWA,GPS,7,PRIV,"(-0.42635, 36.92364)"
104,ST. CECILIA NURSING HOME,,CENTRAL,NYERI,OTHAYA,IRIA-INI,GITUNDU,GPS,7,PRIV,"(-0.54674, 36.94391)"
105,WAKA MATERNITY HOME,3920,CENTRAL,NYERI,MUNICIPALITY,MUKARO,RURINGU,GPS,7,PRIV,"(-0.43107, 36.96809)"
106,WAKAGORI NURSING HOME,3366,CENTRAL,NYERI,MATHIRA,KIRIMUKUYU,MBOGOINI,GPS,7,PRIV,"(-0.47603, 37.08469)"
84,CHANIA MATERNITY & NURSING HOME,3887,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,MAJENGO(THIKA),ILRI MKT CENTRE,7,PRIV,"(-1.038539, 37.083114)"
85,F.P.A.K CLINIC (THIKA),3173,CENTRAL,THIKA,,,,,,,
,,,,,,,,,8,NGO,
86,GATUNDU NURSING HOME,,CENTRAL,THIKA,GATUNDU,NGENDA,KIMINYU,1:50000 MAPS,7,PRIV,"(-1.01036, 36.88378)"
87,THIKA MATERNITY AND NURSING HOME,3918,CENTRAL,THIKA,,,,,,,
,,,,,,,,,7,PRIV,
88,THIKA MATERNITY MISSION HOSPITAL,228,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,KARIMENI,DDP,7,MISS,"(-1.02422, 37.0691)"
89,TIRITHA MATERNITY,4538,CENTRAL,THIKA,,,,,,,
,,,,,,,,,7,PRIV,
44,BAHARI MUSLIM NURSING HOME,,COAST,KILIFI,KIKAMBALA,MTWAPA,KANAMAI,AMKENI,7,MISS,"(-3.921222, 39.744517)"
45,BAKARANI MATERNITY AND NURSING HOME,,COAST,KILIFI,,,,,,,
,,,,,,,,,7,PRIV,
46,KILIFI NURSING HOME,3526,COAST,KILIFI,,,,,,,
,,,,,,,,,7,PRIV,
47,MSENANGU NURSING  & MATERNITY HOME LTD,,COAST,KILIFI,BAHARI,KILIFI TOWNSHIP,SOKONI(KILIFI),AMKENI,7,PRIV,"(-3.63132, 39.852235)"
48,MTWAPA NURSING HOME,,COAST,KILIFI,KIKAMBALA,MTWAPA,KIDUTANI/MAWAMBA,AMKENI,7,PRIV,"(-3.921788, 39.738359)"
49,NEW WANANCHI NURS & MAT HOME,,COAST,KILIFI,BAHARI,KILIFI TOWNSHIP,SOKONI(KILIFI),AMKENI,7,PRIV,"(-3.624528, 39.850823)"
50,PWANI MATERNITY AND NURSING HOME,,COAST,KILIFI,BAHARI,KILIFI TOWNSHIP,HOSPITAL(KILIFI),KEMRI-KILIFI PROJECT,7,PRIV,"(-3.62191, 39.8634)"
59,DIANI NURSING HOME,,COAST,KWALE,MSAMBWENI,DIANI,GOMBATO,GPS,7,PRIV,"(-4.26815, 39.568)"
60,TUMBE TB AND LEPROSY HOSP,608,COAST,KWALE,MSAMBWENI,MSAMBWENI,VINGUJINI,GPS,8,MOH,"(-4.46664, 39.4709)"
30,NAJAH NURSING HOME,3525,COAST,LAMU,,,,,,,
,,,,,,,,,7,PRIV,
32,SEA BREEZE NURSING HOME,569,COAST,MALINDI,MALINDI,MALINDI,SHELLA(MALINDI),DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-3.239143, 40.124937)"
34,WATAMU MATERNITY & NURSING HOME,4477,COAST,MALINDI,MALINDI,WATAMU,JIMBA(MALINDI),AMKENI,7,PRIV,"(-3.323277, 40.013935)"
85,AWADH DISPENSARY,4470,COAST,MOMBASA,KISAUNI,KONGOWEA,MAWENI,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.027827, 39.696161)"
86,BAKARANI MAT. & NURSING,2941,COAST,MOMBASA,ISLAND,MAJENGO,MAJENGO(MOMBASA),AMKENI,7,PRIV,"(-4.051583, 39.665417)"
87,CHAANI MATERNITY AND NURSING,4513,COAST,MOMBASA,,,,,,,
,,,,,,,,,7,PRIV,
88,CHANGAMWE M&NH,681,COAST,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.038617, 39.617913)"
89,CHINESE REHAB CLINIC,,COAST,MOMBASA,,,,,,,
,,,,,,,,,8,PRIV,
90,COAST IMAGING CLINIC LTD,,COAST,MOMBASA,KISAUNI,KONGOWEA,KONGOWEA,ILRI VILLAGES,8,PRIV,"(-4.04, 39.68)"
91,CORNER MTONGWE M&NH,4531,COAST,MOMBASA,LIKONI,LIKONI,TIMBWANI,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.106414, 39.659953)"
92,ENE MEDICARE CENTRE,,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,AMKENI,7,PRIV,"(-4.003186, 39.697198)"
93,F.P.A.K.  CLINIC,3171,COAST,MOMBASA,ISLAND,GANJONI,KIZINGO(MOMBASA),DSA/DFH(MOH)-UNFPA REPORT,8,NGO,"(-4.065552, 39.678725)"
94,GREEN CRESCENT M&N HOME,3530,COAST,MOMBASA,ISLAND,GANJONI,KIZINGO(MOMBASA),DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.06761, 39.675845)"
95,GURU NANAK MNH,636,COAST,MOMBASA,ISLAND,MAJENGO,MAJENGO(MOMBASA),DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.047834, 39.65994)"
96,KIBAIKOI NURSING HOME,682,COAST,MOMBASA,,,,,,,
,,,,,,,,,7,PRIV,
97,KIEMBENI COMMUNITY HOSP,,COAST,MOMBASA,KISAUNI,BAMBURI,BAMBURI,AMKENI,7,PRIV,"(-3.991363, 39.699354)"
,KISIMANI MAT HOME,,COAST,MOMBASA,KISAUNI,BAMBURI,BAMBURI,,7,PRIV,
98,LADY GRIGG MATERNITY,3899,COAST,MOMBASA,,,,,,,
,,,,,,,,,7,MOH,
99,LIGHTHOUSE FOR CHRIST EYE HC,637,COAST,MOMBASA,,,,,,,
,,,,,,,,,8,MISS,
100,LIKONI NURSING HOME,3537,COAST,MOMBASA,ISLAND,GANJONI,KIZINGO(MOMBASA),DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.067468, 39.677462)"
101,LIKONI SCHOOL FOR THE BLIND DISP,4534,COAST,MOMBASA,LIKONI,LIKONI,BOFU(MOMBASA),ILRI VILLAGES,8,MISS,"(-4.08, 39.65)"
102,MAINLAND MAT NH,4516,COAST,MOMBASA,,,,,,,
,,,,,,,,,7,MISS,
103,MAKUPA MNH,3529,COAST,MOMBASA,ISLAND,TONONOKA,TONONOKA,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.042717, 39.661711)"
104,MARY IMMACULATE MNH,691,COAST,MOMBASA,ISLAND,MAJENGO,MWEMBE TAYARI,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.053967, 39.667497)"
105,MAUNDI NURSING HOME,2366,COAST,MOMBASA,,,,,,,
,,,,,,,,,7,PRIV,
106,MVITA MATERNITY HOSP,3906,COAST,MOMBASA,ISLAND,OLD TOWN,MJI WA KALE,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.054932, 39.675694)"
107,NEW NYALI BRIDGE NURSING HOME,3536,COAST,MOMBASA,LIKONI,MTONGWE,MTONGWE,ILRI MKT CENTRE,7,PRIV,"(-4.050336, 39.637375)"
108,NEW PORT REITZ MAT. HOME,703,COAST,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.040547, 39.607608)"
109,POLIO CLINIC,,COAST,MOMBASA,,,,,,,
,,,,,,,,,8,PRIV,
110,PORT REITZ POLIO CLINIC,,COAST,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,SUBLOC CENTROID,8,PRIV,"(-4.025135, 39.601296)"
111,PRIVATE OBSTETRIC & GYNAECOLOGY CLINIC,,COAST,MOMBASA,,,,,,,
,,,,,,,,,8,PRIV,
112,PWANI NURSING HOME,4472,COAST,MOMBASA,,,,,,,
,,,,,,,,,7,PRIV,
113,SAYIDA FATIMA MATERNITY HOSP,3544,COAST,MOMBASA,KISAUNI,KONGOWEA,MAWENI,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.023671, 39.71047)"
114,SAYYIDA NURSING HOME,,COAST,MOMBASA,,,,,,,
,,,,,,,,,7,MISS,
115,SHALOM MATERNITY & NURSING HOME,,COAST,MOMBASA,,,,,,,
,,,,,,,,,7,PRIV,
116,SINGAWA NURSING HOME,4532,COAST,MOMBASA,LIKONI,LIKONI,TIMBWANI,DSA/DFH(MOH)-UNFPA REPORT,7,PRIV,"(-4.095193, 39.66828)"
